# pofo simdata v1
# id: USSCV-USD
# name: US small-cap value total return (USD, daily)
# source: Ken French Data Library, 6 Portfolios formed on Size and Book-to-Market (2x3) [Daily], value-weighted SMALL HiBM (small x high book-to-market), daily returns cumulated to a total-return index from 1963-07 (the standard reliable-value start; pre-1963 book equity is hand-collected). https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/6_Portfolios_2x3_Daily_CSV.zip . Gross of fees/costs. Extends DFSVX (hence ZPRV) before its 1993 inception.
1963-10-07,104.416367
1963-10-08,104.405925
1963-10-09,103.967421
1963-10-10,104.102578
1963-10-11,104.654322
1963-10-14,104.779907
1963-10-15,104.821819
1963-10-16,105.702322
1963-10-17,105.712893
1963-10-18,105.808034
1963-10-21,105.596418
1963-10-22,105.290188
1963-10-23,105.258601
1963-10-24,105.805946
1963-10-25,106.038719
1963-10-28,105.593357
1963-10-29,105.244899
1963-10-30,104.855492
1963-10-31,105.232972
1963-11-01,105.401345
1963-11-04,105.190542
1963-11-06,104.654070
1963-11-07,104.988963
1963-11-08,105.713387
1963-11-11,106.210240
1963-11-12,105.944715
1963-11-13,105.891742
1963-11-14,105.627013
1963-11-15,105.267881
1963-11-18,104.520479
1963-11-19,104.666808
1963-11-20,104.373741
1963-11-21,103.037757
1963-11-22,99.781764
1963-11-26,102.735304
1963-11-27,103.064057
1963-11-29,104.888291
1963-12-02,105.066601
1963-12-03,104.866974
1963-12-04,105.129142
1963-12-05,105.255297
1963-12-06,105.171092
1963-12-09,104.908165
1963-12-10,104.929146
1963-12-11,104.971118
1963-12-12,104.761176
1963-12-13,104.939270
1963-12-16,104.813343
1963-12-17,104.739973
1963-12-18,104.645707
1963-12-19,103.902723
1963-12-20,103.632576
1963-12-23,103.228409
1963-12-24,103.527771
1963-12-26,104.304229
1963-12-27,104.418964
1963-12-30,104.168359
1963-12-31,105.074623
1964-01-02,106.839877
1964-01-03,107.577072
1964-01-06,107.899803
1964-01-07,108.741422
1964-01-08,109.078520
1964-01-09,109.165783
1964-01-10,108.936535
1964-01-13,109.165302
1964-01-14,109.460048
1964-01-15,109.394372
1964-01-16,109.416251
1964-01-17,109.788266
1964-01-20,109.294219
1964-01-21,109.075630
1964-01-22,110.057311
1964-01-23,110.035300
1964-01-24,110.442430
1964-01-27,110.276766
1964-01-28,110.287794
1964-01-29,109.361377
1964-01-30,109.208271
1964-01-31,109.284717
1964-02-03,109.295645
1964-02-04,108.913110
1964-02-05,109.011132
1964-02-06,109.098341
1964-02-07,109.698382
1964-02-10,109.522864
1964-02-11,109.993813
1964-02-12,110.521783
1964-02-13,110.599148
1964-02-14,110.820347
1964-02-17,111.330120
1964-02-18,111.575046
1964-02-19,111.697779
1964-02-20,112.300947
1964-02-24,112.772611
1964-02-25,112.840275
1964-02-26,113.449612
1964-02-27,113.290783
1964-02-28,113.868566
1964-03-02,114.278492
1964-03-03,114.061363
1964-03-04,113.730585
1964-03-05,113.889808
1964-03-06,114.971761
1964-03-09,115.431648
1964-03-10,115.477821
1964-03-11,115.801159
1964-03-12,116.125402
1964-03-13,116.485391
1964-03-16,116.299014
1964-03-17,116.694431
1964-03-18,116.986167
1964-03-19,117.044660
1964-03-20,117.021251
1964-03-23,117.419123
1964-03-24,117.560026
1964-03-25,118.817919
1964-03-26,119.792226
1964-03-30,119.900039
1964-03-31,119.744169
1964-04-01,120.738045
1964-04-02,121.764319
1964-04-03,121.752142
1964-04-06,122.263501
1964-04-07,121.811126
1964-04-08,122.359276
1964-04-09,122.518343
1964-04-10,122.898150
1964-04-13,122.529456
1964-04-14,122.468191
1964-04-15,122.174267
1964-04-16,121.942136
1964-04-17,122.051884
1964-04-20,121.697934
1964-04-21,121.418028
1964-04-22,121.296610
1964-04-23,120.653738
1964-04-24,119.181763
1964-04-27,118.859972
1964-04-28,119.977256
1964-04-29,118.669504
1964-04-30,118.016821
1964-05-01,119.078973
1964-05-04,119.983973
1964-05-05,120.175947
1964-05-06,120.344194
1964-05-07,120.909811
1964-05-08,120.788901
1964-05-11,120.752665
1964-05-12,121.368503
1964-05-13,120.858756
1964-05-14,120.858756
1964-05-15,120.798326
1964-05-18,120.194335
1964-05-19,119.941927
1964-05-20,120.529642
1964-05-21,120.614013
1964-05-22,120.867302
1964-05-25,120.540960
1964-05-26,120.444528
1964-05-27,120.119327
1964-05-28,120.431638
1964-06-01,120.154645
1964-06-02,119.481779
1964-06-03,119.075541
1964-06-04,117.658542
1964-06-05,118.258601
1964-06-08,117.690959
1964-06-09,118.491258
1964-06-10,118.917826
1964-06-11,119.060528
1964-06-12,118.941467
1964-06-15,119.559963
1964-06-16,120.361015
1964-06-17,121.010964
1964-06-18,121.095672
1964-06-19,121.422630
1964-06-22,121.592622
1964-06-23,121.179207
1964-06-24,121.930518
1964-06-25,122.076835
1964-06-26,122.748257
1964-06-29,122.920105
1964-06-30,122.883229
1964-07-01,123.694258
1964-07-02,124.139557
1964-07-06,124.363008
1964-07-07,124.474935
1964-07-08,124.786123
1964-07-09,125.285267
1964-07-10,125.949279
1964-07-13,125.861114
1964-07-14,125.823356
1964-07-15,125.961762
1964-07-16,126.276666
1964-07-17,126.365060
1964-07-20,126.289241
1964-07-21,126.188209
1964-07-22,126.150353
1964-07-23,126.478344
1964-07-24,126.377161
1964-07-27,125.934841
1964-07-28,125.620004
1964-07-29,125.657690
1964-07-30,125.896440
1964-07-31,126.072695
1964-08-03,125.517975
1964-08-04,124.011759
1964-08-05,123.924951
1964-08-06,123.280541
1964-08-07,123.884616
1964-08-10,123.884616
1964-08-11,124.070443
1964-08-12,124.827272
1964-08-13,125.289133
1964-08-14,125.439480
1964-08-17,125.201145
1964-08-18,125.464068
1964-08-19,125.501707
1964-08-20,124.635745
1964-08-21,124.872553
1964-08-24,125.059862
1964-08-25,124.334515
1964-08-26,124.110713
1964-08-27,124.321701
1964-08-28,124.520615
1964-08-31,124.445903
1964-09-01,125.341914
1964-09-02,125.880884
1964-09-03,125.843120
1964-09-04,126.132559
1964-09-08,126.321758
1964-09-09,126.536505
1964-09-10,126.688348
1964-09-11,127.220439
1964-09-14,127.093219
1964-09-15,126.826323
1964-09-16,127.244850
1964-09-17,127.944697
1964-09-18,127.548068
1964-09-21,128.160299
1964-09-22,128.224379
1964-09-23,128.673164
1964-09-24,128.840440
1964-09-25,129.033700
1964-09-28,128.994990
1964-09-29,128.878895
1964-09-30,128.917558
1964-10-01,128.994909
1964-10-02,129.162602
1964-10-05,129.795499
1964-10-06,129.899335
1964-10-07,129.730466
1964-10-08,130.210469
1964-10-09,130.575058
1964-10-12,130.718691
1964-10-13,130.731763
1964-10-14,130.784055
1964-10-15,129.384666
1964-10-16,130.846713
1964-10-19,131.605624
1964-10-20,132.145207
1964-10-21,132.118778
1964-10-22,132.158413
1964-10-23,132.369867
1964-10-26,132.700791
1964-10-27,132.488470
1964-10-28,131.614046
1964-10-29,131.640369
1964-10-30,131.916814
1964-11-02,131.890430
1964-11-04,131.943187
1964-11-05,131.296665
1964-11-06,131.375443
1964-11-09,131.152105
1964-11-10,130.653727
1964-11-11,131.306995
1964-11-12,131.989792
1964-11-13,132.464955
1964-11-16,132.597420
1964-11-17,132.889134
1964-11-18,133.154913
1964-11-19,132.955180
1964-11-20,133.181204
1964-11-23,133.167886
1964-11-24,133.061352
1964-11-25,133.221025
1964-11-27,132.887973
1964-11-30,131.904602
1964-12-01,130.611937
1964-12-02,130.611937
1964-12-03,131.225813
1964-12-04,131.409529
1964-12-07,131.199274
1964-12-08,130.149679
1964-12-09,128.900242
1964-12-10,128.964693
1964-12-11,129.377380
1964-12-14,128.937496
1964-12-15,128.086509
1964-12-16,128.611664
1964-12-17,129.499084
1964-12-18,130.081830
1964-12-21,130.146871
1964-12-22,129.873563
1964-12-23,129.639790
1964-12-24,129.756466
1964-12-28,129.458026
1964-12-29,129.095544
1964-12-30,129.547378
1964-12-31,129.974884
1965-01-04,130.234834
1965-01-05,131.289736
1965-01-06,132.405699
1965-01-07,133.213374
1965-01-08,133.479801
1965-01-11,133.586584
1965-01-12,134.201083
1965-01-13,134.791567
1965-01-14,135.155505
1965-01-15,135.723158
1965-01-18,135.709585
1965-01-19,135.641731
1965-01-20,135.777372
1965-01-21,135.777372
1965-01-22,136.266171
1965-01-25,136.920249
1965-01-26,137.180397
1965-01-27,137.646810
1965-01-28,137.963398
1965-01-29,138.653215
1965-02-01,138.805734
1965-02-02,138.875136
1965-02-03,139.166774
1965-02-04,139.459024
1965-02-05,139.612429
1965-02-08,139.584507
1965-02-09,140.128886
1965-02-10,139.007855
1965-02-11,138.048701
1965-02-12,139.263530
1965-02-15,139.848437
1965-02-16,140.002270
1965-02-17,140.660281
1965-02-18,141.518308
1965-02-19,142.056078
1965-02-23,143.462433
1965-02-24,144.294515
1965-02-25,144.482098
1965-02-26,144.539891
1965-03-01,144.872333
1965-03-02,145.292462
1965-03-03,145.423226
1965-03-04,145.205091
1965-03-05,145.016324
1965-03-08,145.465875
1965-03-09,145.305862
1965-03-10,145.204148
1965-03-11,145.596199
1965-03-12,146.193144
1965-03-15,146.558627
1965-03-16,146.529315
1965-03-17,146.617232
1965-03-18,146.353321
1965-03-19,146.382592
1965-03-22,146.616804
1965-03-23,146.880714
1965-03-24,147.747311
1965-03-25,147.466591
1965-03-26,146.522805
1965-03-29,146.039279
1965-03-30,146.375170
1965-03-31,146.726470
1965-04-01,146.961232
1965-04-02,147.725431
1965-04-05,147.843611
1965-04-06,147.769689
1965-04-07,147.976567
1965-04-08,148.997605
1965-04-09,150.010789
1965-04-12,150.835848
1965-04-13,151.514610
1965-04-14,151.938851
1965-04-15,152.379473
1965-04-19,152.684232
1965-04-20,153.233895
1965-04-21,152.881457
1965-04-22,153.202509
1965-04-23,153.401672
1965-04-26,153.831196
1965-04-27,154.138859
1965-04-28,154.185101
1965-04-29,154.262193
1965-04-30,154.509013
1965-05-03,154.169093
1965-05-04,154.138259
1965-05-05,154.184500
1965-05-06,154.230756
1965-05-07,153.983987
1965-05-10,154.014783
1965-05-11,153.660549
1965-05-12,154.259825
1965-05-13,155.231662
1965-05-14,155.557649
1965-05-17,155.417647
1965-05-18,155.604148
1965-05-19,155.977598
1965-05-20,154.963744
1965-05-21,154.219918
1965-05-24,152.785673
1965-05-25,153.289865
1965-05-26,152.753351
1965-05-27,151.607701
1965-05-28,152.471864
1965-06-01,151.679011
1965-06-02,149.555505
1965-06-03,149.346127
1965-06-04,149.629885
1965-06-07,148.791957
1965-06-08,146.902299
1965-06-09,145.653630
1965-06-10,144.240790
1965-06-11,144.817753
1965-06-14,141.820025
1965-06-15,142.514943
1965-06-16,144.609913
1965-06-17,145.477573
1965-06-18,144.793828
1965-06-21,144.040900
1965-06-22,144.271365
1965-06-23,143.405737
1965-06-24,140.494601
1965-06-25,139.230149
1965-06-28,134.927938
1965-06-29,134.914445
1965-06-30,139.326147
1965-07-01,140.552217
1965-07-02,141.803132
1965-07-06,141.944935
1965-07-07,141.306183
1965-07-08,142.493155
1965-07-09,143.690098
1965-07-12,144.049323
1965-07-13,143.487530
1965-07-14,144.621082
1965-07-15,144.751241
1965-07-16,144.765716
1965-07-19,144.563044
1965-07-20,142.380142
1965-07-21,141.810622
1965-07-22,141.938251
1965-07-23,142.222128
1965-07-26,142.421239
1965-07-27,142.463965
1965-07-28,142.791632
1965-07-29,144.233828
1965-07-30,145.099230
1965-08-02,145.461979
1965-08-03,145.534710
1965-08-04,146.640773
1965-08-05,146.978047
1965-08-06,147.169119
1965-08-09,147.345722
1965-08-10,147.743555
1965-08-11,148.497047
1965-08-12,149.269232
1965-08-13,150.015578
1965-08-16,150.450623
1965-08-17,150.616119
1965-08-18,151.007721
1965-08-19,150.207380
1965-08-20,150.222400
1965-08-23,150.132267
1965-08-24,150.417518
1965-08-25,150.808604
1965-08-26,151.532485
1965-08-27,151.926470
1965-08-30,152.245515
1965-08-31,152.458659
1965-09-01,152.260463
1965-09-02,152.976087
1965-09-03,153.970431
1965-09-07,154.309166
1965-09-08,154.710370
1965-09-09,155.251857
1965-09-10,155.500260
1965-09-13,156.013410
1965-09-14,155.264546
1965-09-15,155.870078
1965-09-16,156.961168
1965-09-17,156.992561
1965-09-20,157.494937
1965-09-21,157.179947
1965-09-22,158.358796
1965-09-23,157.376972
1965-09-24,158.651725
1965-09-27,159.635366
1965-09-28,159.731147
1965-09-29,158.676922
1965-09-30,158.311965
1965-10-01,158.612758
1965-10-04,159.945105
1965-10-05,161.160687
1965-10-06,160.354884
1965-10-07,160.996304
1965-10-08,163.201953
1965-10-11,164.246445
1965-10-12,164.410692
1965-10-13,164.903924
1965-10-14,165.547049
1965-10-15,166.573441
1965-10-18,167.356336
1965-10-19,167.138773
1965-10-20,167.623475
1965-10-21,168.226920
1965-10-22,167.722239
1965-10-25,166.648817
1965-10-26,167.665375
1965-10-27,168.051005
1965-10-28,167.748513
1965-10-29,168.419507
1965-11-01,168.352139
1965-11-03,168.638338
1965-11-04,168.925023
1965-11-05,169.161518
1965-11-08,168.535621
1965-11-09,168.805278
1965-11-10,168.906561
1965-11-11,169.463952
1965-11-12,170.836610
1965-11-15,171.707877
1965-11-16,172.137147
1965-11-17,171.242034
1965-11-18,171.687263
1965-11-19,172.528531
1965-11-22,172.235232
1965-11-23,172.838055
1965-11-24,173.788665
1965-11-26,175.283247
1965-11-29,176.107078
1965-11-30,176.371239
1965-12-01,177.217821
1965-12-02,177.270986
1965-12-03,177.501439
1965-12-06,175.247170
1965-12-07,178.384095
1965-12-08,178.455448
1965-12-09,179.847401
1965-12-10,180.818577
1965-12-13,181.668424
1965-12-14,182.140762
1965-12-15,183.215392
1965-12-16,184.259720
1965-12-17,185.383705
1965-12-20,183.882097
1965-12-21,184.948613
1965-12-22,184.097849
1965-12-23,183.287819
1965-12-27,182.004804
1965-12-28,181.968403
1965-12-29,183.114804
1965-12-30,184.121935
1965-12-31,184.932072
1966-01-03,185.708786
1966-01-04,186.804468
1966-01-05,188.205502
1966-01-06,188.694836
1966-01-07,189.091095
1966-01-10,190.131096
1966-01-11,190.872608
1966-01-12,191.006218
1966-01-13,192.457866
1966-01-14,192.881273
1966-01-17,194.135001
1966-01-18,194.600925
1966-01-19,194.347944
1966-01-20,194.425683
1966-01-21,194.795092
1966-01-24,196.333973
1966-01-25,197.531610
1966-01-26,197.511857
1966-01-27,198.242651
1966-01-28,198.559839
1966-01-31,197.586896
1966-02-01,193.951297
1966-02-02,195.793835
1966-02-03,195.793835
1966-02-04,197.653876
1966-02-07,199.156045
1966-02-08,198.877227
1966-02-09,201.263754
1966-02-10,201.988303
1966-02-11,202.897251
1966-02-14,203.627681
1966-02-15,202.894621
1966-02-16,203.483015
1966-02-17,202.262117
1966-02-18,203.010487
1966-02-21,202.421757
1966-02-23,201.693038
1966-02-24,201.451007
1966-02-25,202.740293
1966-02-28,204.321668
1966-03-01,200.991224
1966-03-02,198.720024
1966-03-03,201.283512
1966-03-04,200.981587
1966-03-07,197.424212
1966-03-08,196.496319
1966-03-09,199.050771
1966-03-10,198.075422
1966-03-11,198.808301
1966-03-14,195.508083
1966-03-15,191.812981
1966-03-16,192.848771
1966-03-17,193.793730
1966-03-18,195.751046
1966-03-21,199.196265
1966-03-22,199.933291
1966-03-23,199.453451
1966-03-24,199.832413
1966-03-25,200.591776
1966-03-28,202.637812
1966-03-29,201.199083
1966-03-30,199.086493
1966-03-31,199.723570
1966-04-01,201.421220
1966-04-04,204.361970
1966-04-05,206.405590
1966-04-06,207.210571
1966-04-07,208.598882
1966-04-11,209.579297
1966-04-12,209.118223
1966-04-13,210.289285
1966-04-14,210.520603
1966-04-15,212.099507
1966-04-18,211.632888
1966-04-19,213.283625
1966-04-20,214.968566
1966-04-21,215.484490
1966-04-22,214.859585
1966-04-25,214.343922
1966-04-26,213.808062
1966-04-27,212.717641
1966-04-28,211.632781
1966-04-29,212.288843
1966-05-02,211.736892
1966-05-03,208.179712
1966-05-04,206.868180
1966-05-05,200.889689
1966-05-06,198.961148
1966-05-09,194.584003
1966-05-10,196.160134
1966-05-11,196.375910
1966-05-12,192.271653
1966-05-13,188.810763
1966-05-16,183.467419
1966-05-17,179.577910
1966-05-18,185.037078
1966-05-19,184.537478
1966-05-20,185.718518
1966-05-23,188.002856
1966-05-24,190.597295
1966-05-25,191.855237
1966-05-26,191.836052
1966-05-27,193.063802
1966-05-31,190.302990
1966-06-01,189.960445
1966-06-02,190.340365
1966-06-03,190.797182
1966-06-06,188.908290
1966-06-07,186.943644
1966-06-08,187.897057
1966-06-09,189.982714
1966-06-10,193.307411
1966-06-13,195.085840
1966-06-14,196.061269
1966-06-15,195.806389
1966-06-16,195.806389
1966-06-17,196.060937
1966-06-20,195.982513
1966-06-21,197.393587
1966-06-22,198.281858
1966-06-23,196.854229
1966-06-24,197.051083
1966-06-27,195.060867
1966-06-28,194.007539
1966-06-29,191.621246
1966-06-30,190.318221
1966-07-01,192.659135
1966-07-05,193.160049
1966-07-06,194.357642
1966-07-07,195.115636
1966-07-08,195.876587
1966-07-11,195.778649
1966-07-12,195.680760
1966-07-13,194.956741
1966-07-14,195.483124
1966-07-15,196.284605
1966-07-18,196.166834
1966-07-19,194.832900
1966-07-20,193.722352
1966-07-21,193.664235
1966-07-22,194.012831
1966-07-25,189.860956
1966-07-26,188.493958
1966-07-27,189.794566
1966-07-28,189.395997
1966-07-29,188.903568
1966-08-01,185.616646
1966-08-02,185.208289
1966-08-03,186.856643
1966-08-04,188.295439
1966-08-05,188.596712
1966-08-08,187.936623
1966-08-09,187.767480
1966-08-10,186.603322
1966-08-11,186.155474
1966-08-12,186.378860
1966-08-15,185.596069
1966-08-16,183.665870
1966-08-17,182.196543
1966-08-18,179.991965
1966-08-19,177.868060
1966-08-22,174.452993
1966-08-23,174.610001
1966-08-24,176.338640
1966-08-25,174.786860
1966-08-26,170.661890
1966-08-29,165.473768
1966-08-30,166.069474
1966-08-31,169.125152
1966-09-01,169.920040
1966-09-02,169.665160
1966-09-06,168.918634
1966-09-07,167.128096
1966-09-08,166.576573
1966-09-09,167.109618
1966-09-12,170.067459
1966-09-13,171.155890
1966-09-14,171.395509
1966-09-15,172.286765
1966-09-16,172.372909
1966-09-19,172.200536
1966-09-20,171.838915
1966-09-21,169.811215
1966-09-22,169.437631
1966-09-23,169.234306
1966-09-26,169.369693
1966-09-27,169.471315
1966-09-28,168.454487
1966-09-29,166.500415
1966-09-30,166.650265
1966-10-03,164.033856
1966-10-04,162.442728
1966-10-05,161.403094
1966-10-06,159.078890
1966-10-07,156.963141
1966-10-10,157.167193
1966-10-11,158.660281
1966-10-12,160.802195
1966-10-13,161.863489
1966-10-14,161.976794
1966-10-17,162.462724
1966-10-18,163.843657
1966-10-19,163.548739
1966-10-20,163.139867
1966-10-21,162.487307
1966-10-24,162.568551
1966-10-25,162.438496
1966-10-26,164.111613
1966-10-27,165.342450
1966-10-28,166.136093
1966-10-31,166.418525
1966-11-01,167.400394
1966-11-02,167.099073
1966-11-03,166.965394
1966-11-04,167.316022
1966-11-07,167.332753
1966-11-09,168.504082
1966-11-10,169.414004
1966-11-11,170.125543
1966-11-14,169.700229
1966-11-15,170.039630
1966-11-16,171.535979
1966-11-17,171.364443
1966-11-18,170.970304
1966-11-21,168.833176
1966-11-22,167.634460
1966-11-23,169.059353
1966-11-25,170.733041
1966-11-28,170.545234
1966-11-29,170.255307
1966-11-30,170.459614
1966-12-01,169.914143
1966-12-02,170.169014
1966-12-05,169.981828
1966-12-06,170.270797
1966-12-07,170.985935
1966-12-08,171.977653
1966-12-09,172.166828
1966-12-12,173.423646
1966-12-13,172.920718
1966-12-14,173.197391
1966-12-15,172.504601
1966-12-16,172.815110
1966-12-19,172.780547
1966-12-20,172.262205
1966-12-21,173.433588
1966-12-22,174.595593
1966-12-23,174.892406
1966-12-27,174.490153
1966-12-28,173.565355
1966-12-29,172.628102
1966-12-30,172.144744
1967-01-03,174.330982
1967-01-04,174.749376
1967-01-05,178.314263
1967-01-06,181.202955
1967-01-09,184.337766
1967-01-10,184.761742
1967-01-11,187.496216
1967-01-12,188.771191
1967-01-13,189.960449
1967-01-16,190.587319
1967-01-17,191.883312
1967-01-18,192.957859
1967-01-19,193.633211
1967-01-20,196.169806
1967-01-23,197.052571
1967-01-24,197.781665
1967-01-25,197.069651
1967-01-26,198.232362
1967-01-27,199.520872
1967-01-30,201.815362
1967-01-31,202.440990
1967-02-01,202.845872
1967-02-02,205.219169
1967-02-03,207.763886
1967-02-06,208.511836
1967-02-07,207.865450
1967-02-08,209.881745
1967-02-09,208.118738
1967-02-10,208.867965
1967-02-13,209.891418
1967-02-14,211.507582
1967-02-15,211.063416
1967-02-16,210.282482
1967-02-17,210.345566
1967-02-20,210.009014
1967-02-21,210.324027
1967-02-23,210.639513
1967-02-24,211.102920
1967-02-27,208.210810
1967-02-28,208.752158
1967-03-01,210.923181
1967-03-02,211.766873
1967-03-03,211.893933
1967-03-06,212.847456
1967-03-07,213.783985
1967-03-08,214.446715
1967-03-09,215.711951
1967-03-10,216.466943
1967-03-13,215.168141
1967-03-14,214.780838
1967-03-15,216.370217
1967-03-16,217.192423
1967-03-17,217.800562
1967-03-20,217.844122
1967-03-21,217.321296
1967-03-22,217.625546
1967-03-23,219.431838
1967-03-27,219.475725
1967-03-28,220.221942
1967-03-29,220.111831
1967-03-30,220.640100
1967-03-31,220.397395
1967-04-03,218.347700
1967-04-04,218.784395
1967-04-05,220.337764
1967-04-06,221.042845
1967-04-07,219.937631
1967-04-10,216.616573
1967-04-11,218.522799
1967-04-12,218.544651
1967-04-13,219.681083
1967-04-14,220.647680
1967-04-17,221.243429
1967-04-18,223.168246
1967-04-19,223.145930
1967-04-20,223.659165
1967-04-21,225.224779
1967-04-24,225.292347
1967-04-25,225.720402
1967-04-26,225.314105
1967-04-27,226.733584
1967-04-28,228.003292
1967-05-01,228.208495
1967-05-02,229.144150
1967-05-03,230.496101
1967-05-04,230.426952
1967-05-05,230.864763
1967-05-08,230.541552
1967-05-09,228.581949
1967-05-10,229.061971
1967-05-11,230.986092
1967-05-12,231.101585
1967-05-15,230.292729
1967-05-16,231.536310
1967-05-17,231.721539
1967-05-18,232.648425
1967-05-19,231.764361
1967-05-22,230.814127
1967-05-23,229.844708
1967-05-24,226.764789
1967-05-25,228.760319
1967-05-26,228.851823
1967-05-29,228.050842
1967-05-31,222.691647
1967-06-01,225.163524
1967-06-02,225.186041
1967-06-05,218.925869
1967-06-06,224.355230
1967-06-07,226.980187
1967-06-08,228.841424
1967-06-09,230.260241
1967-06-12,232.263505
1967-06-13,233.726765
1967-06-14,233.890374
1967-06-15,234.825935
1967-06-16,235.342552
1967-06-19,235.977977
1967-06-20,237.063476
1967-06-21,237.016063
1967-06-22,237.584902
1967-06-23,238.844102
1967-06-26,238.127569
1967-06-27,238.151382
1967-06-28,239.794627
1967-06-29,239.291058
1967-06-30,240.607159
1967-07-03,242.147045
1967-07-05,243.793645
1967-07-06,243.915541
1967-07-07,246.549829
1967-07-10,248.867398
1967-07-11,249.614000
1967-07-12,250.113228
1967-07-13,251.388805
1967-07-14,254.053527
1967-07-17,255.044335
1967-07-18,258.079363
1967-07-19,259.447184
1967-07-20,259.810410
1967-07-21,259.758448
1967-07-24,258.070018
1967-07-25,259.257140
1967-07-26,260.371945
1967-07-27,262.663219
1967-07-28,264.317997
1967-07-31,265.692450
1967-08-01,267.020913
1967-08-02,267.074317
1967-08-03,266.219679
1967-08-04,267.896863
1967-08-07,267.575387
1967-08-08,268.190810
1967-08-09,268.941744
1967-08-10,268.215602
1967-08-11,267.571884
1967-08-14,265.458066
1967-08-15,266.068620
1967-08-16,265.323628
1967-08-17,266.915570
1967-08-18,267.716316
1967-08-21,266.725766
1967-08-22,265.312119
1967-08-23,265.020276
1967-08-24,263.854187
1967-08-25,262.429374
1967-08-28,263.137934
1967-08-29,263.927347
1967-08-30,265.246984
1967-08-31,266.891515
1967-09-01,268.199284
1967-09-05,269.728020
1967-09-06,270.564177
1967-09-07,271.024136
1967-09-08,271.349365
1967-09-11,271.674984
1967-09-12,272.761684
1967-09-13,274.889225
1967-09-14,275.686404
1967-09-15,275.796678
1967-09-18,277.120502
1967-09-19,275.568628
1967-09-20,277.166926
1967-09-21,278.386460
1967-09-22,279.945424
1967-09-25,279.805451
1967-09-26,277.371144
1967-09-27,277.898149
1967-09-28,277.981519
1967-09-29,279.371426
1967-10-02,278.952369
1967-10-03,279.733436
1967-10-04,279.649516
1967-10-05,280.684219
1967-10-06,282.340256
1967-10-09,283.610787
1967-10-10,281.682234
1967-10-11,280.048477
1967-10-12,278.508210
1967-10-13,280.541320
1967-10-16,278.212827
1967-10-17,277.823329
1967-10-18,278.879058
1967-10-19,277.819317
1967-10-20,276.791386
1967-10-23,274.438659
1967-10-24,271.721716
1967-10-25,271.966266
1967-10-26,272.890951
1967-10-27,272.781795
1967-10-30,272.509013
1967-10-31,269.756672
1967-11-01,267.113057
1967-11-02,265.216554
1967-11-03,264.500469
1967-11-06,263.442467
1967-11-08,263.205369
1967-11-09,263.310651
1967-11-10,264.653536
1967-11-13,262.774495
1967-11-14,259.752589
1967-11-15,258.973331
1967-11-16,261.588962
1967-11-17,264.047898
1967-11-20,257.948391
1967-11-21,263.520077
1967-11-22,265.391069
1967-11-24,265.231835
1967-11-27,266.027530
1967-11-28,267.597093
1967-11-29,268.185806
1967-11-30,267.381249
1967-12-01,270.001585
1967-12-04,272.917602
1967-12-05,272.944894
1967-12-06,274.118557
1967-12-07,275.187619
1967-12-08,275.545363
1967-12-11,276.730208
1967-12-12,276.840900
1967-12-13,277.975948
1967-12-14,280.060768
1967-12-15,279.528652
